feature,pearson_r,pearson_p,spearman_r,spearman_p
tab_consensus_prob,-0.07168,0.002853,-0.059345,0.013559
tab_sharp_prob,-0.068286,0.00449,-0.05638,0.019016
tab_retail_sharp_diff,-0.176396,0.0,-0.189402,0.0
tab_num_bookmakers,0.051848,0.031052,0.056898,0.017943
tab_is_weekend,-0.0259,0.281629,-0.02815,0.241909
tab_day_of_week,-0.009966,0.678695,0.035893,0.135614
stnd_home_league_position,0.030229,0.215568,0.030161,0.216615
stnd_away_league_position,-0.07322,0.002674,-0.063455,0.00928
stnd_points_gap,-0.037637,0.123055,-0.033029,0.176009
stnd_home_goal_difference,0.004894,0.841142,-0.003755,0.877759
stnd_away_goal_difference,0.082402,0.000723,0.07472,0.00218
stnd_home_form_last_5,-0.024722,0.311194,-0.023923,0.3271
stnd_away_form_last_5,0.036746,0.132188,0.031061,0.203197
stnd_home_goals_scored_rate,-0.054643,0.02511,-0.043526,0.074497
stnd_home_goals_conceded_rate,0.026269,0.281893,0.016984,0.486631
stnd_away_goals_scored_rate,0.117867,1e-06,0.119481,1e-06
stnd_away_goals_conceded_rate,-0.023722,0.331186,-0.015855,0.516061
eplsched_home_rest_days,-0.009674,0.687618,-0.001294,0.957098
eplsched_away_rest_days,-0.043473,0.070731,-0.031997,0.183569
eplsched_rest_advantage,0.028053,0.243676,0.020948,0.384027
eplsched_is_midweek,0.021402,0.373658,0.020565,0.392638
eplsched_home_matches_last_14d,-0.009857,0.682014,-0.004086,0.865147
eplsched_away_matches_last_14d,0.008042,0.738194,0.004286,0.858627
eplsched_home_european_last_7d,-0.003964,0.869133,0.003635,0.879903
eplsched_away_european_last_7d,0.072497,0.002552,0.074847,0.001838
hours_until_event,-0.015971,0.506779,-0.01613,0.502564
